Label	Tweet	HS	Abusive	HS_Individual	HS_Group	HS_Religion	HS_Race	HS_Physical	HS_Gender	HS_Other	HS_Weak	HS_Moderate	HS_Strong	result_HS
1	- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !'	1	1	1	0	0	0	0	0	1	1	0	0	1
1	siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga	0	1	0	0	0	0	0	0	0	0	0	0	1
0	 Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter	0	0	0	0	0	0	0	0	0	0	0	0	0
0	AKU ITU AKU KU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah'	1	1	0	1	1	0	0	0	0	0	1	0	1
1	Ya bani taplak dkk 	1	1	0	1	0	0	0	0	1	0	1	0	1
0	deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD 	0	1	0	0	0	0	0	0	0	0	0	0	1
0	Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY ROMANTIKA / Bank Islam Senawang)  	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Enak lg klo smbil ngewe'	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu	1	1	1	0	0	0	0	0	1	1	0	0	1
1	BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE 	1	1	1	0	0	0	0	1	0	1	0	0	1
0	Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata	1	0	1	0	0	0	0	0	1	1	0	0	1
1	Bu guru enakan jadi jablay atau guru esde sih. Kayaknya menikmati jadi pecun ini guru.'	1	1	1	0	0	0	0	1	0	1	0	0	1
1	Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'	1	1	1	0	1	0	0	0	0	1	0	0	1
0	Belakangan ini kok fikiran ampas banget ya'	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Ari sarua beki mah repeh monyet	0	1	0	0	0	0	0	0	0	0	0	0	1
1	Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !'	1	1	0	1	0	0	0	1	0	0	1	0	1
0	Slga mnr bom 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'	0	1	0	0	0	0	0	0	0	0	0	0	1
0	kalo kamu noob pasti peluang disakitin nya lebih gede si'	0	0	0	0	0	0	0	0	0	0	0	0	0
